region,zone,woreda,year,period,confirmed,presumed
Somali,Shabelle,Aba-Korow,2018,2018-01-01,NA,NA
Somali,Shabelle,Aba-Korow,2018,2018-02-01,NA,NA
Somali,Shabelle,Aba-Korow,2018,2018-03-01,NA,NA
Somali,Shabelle,Aba-Korow,2018,2018-04-01,NA,NA
Somali,Shabelle,Aba-Korow,2018,2018-05-01,NA,NA
Somali,Shabelle,Aba-Korow,2018,2018-06-01,NA,NA
Somali,Shabelle,Aba-Korow,2018,2018-07-01,21,126
Somali,Shabelle,Aba-Korow,2018,2018-08-01,13,136
Somali,Shabelle,Aba-Korow,2018,2018-09-01,37,157
Somali,Shabelle,Aba-Korow,2018,2018-10-01,20,146
Somali,Shabelle,Aba-Korow,2018,2018-11-01,64,151
Somali,Shabelle,Aba-Korow,2018,2018-12-01,NA,157
Somali,Shabelle,Aba-Korow,2019,2019-01-01,NA,148
Somali,Shabelle,Aba-Korow,2019,2019-02-01,NA,NA
Somali,Shabelle,Aba-Korow,2019,2019-03-01,NA,NA
Somali,Shabelle,Aba-Korow,2019,2019-04-01,NA,NA
Somali,Shabelle,Aba-Korow,2019,2019-05-01,NA,NA
Somali,Shabelle,Aba-Korow,2019,2019-06-01,NA,NA
Somali,Shabelle,Aba-Korow,2019,2019-07-01,NA,NA
Somali,Shabelle,Aba-Korow,2019,2019-08-01,NA,NA
Somali,Shabelle,Aba-Korow,2019,2019-09-01,NA,NA
Somali,Shabelle,Aba-Korow,2019,2019-10-01,NA,NA
Somali,Shabelle,Aba-Korow,2019,2019-11-01,NA,NA
Somali,Shabelle,Aba-Korow,2019,2019-12-01,NA,NA
Somali,Shabelle,Aba-Korow,2020,2020-01-01,NA,NA
Somali,Shabelle,Aba-Korow,2020,2020-02-01,NA,NA
Somali,Shabelle,Aba-Korow,2020,2020-03-01,NA,NA
Somali,Shabelle,Aba-Korow,2020,2020-04-01,NA,NA
Somali,Shabelle,Aba-Korow,2020,2020-05-01,NA,NA
Somali,Shabelle,Aba-Korow,2020,2020-06-01,NA,NA
Somali,Shabelle,Aba-Korow,2020,2020-07-01,NA,NA
Somali,Shabelle,Aba-Korow,2020,2020-08-01,NA,NA
Somali,Shabelle,Aba-Korow,2020,2020-09-01,15,NA
Somali,Shabelle,Aba-Korow,2020,2020-10-01,NA,NA
Somali,Shabelle,Aba-Korow,2020,2020-11-01,NA,NA
Somali,Shabelle,Aba-Korow,2020,2020-12-01,NA,NA
Somali,Shabelle,Aba-Korow,2021,2021-01-01,NA,NA
Somali,Shabelle,Aba-Korow,2021,2021-02-01,NA,NA
